iteration,t,algo,divided,critical_nodes
0,0,none,False,0.0
0,0,RND,True,0.0
0,0,MIRW,True,0.0
0,0,FFD,True,0.0
0,0,KMeans,True,1.0
0,1800,none,False,0.0
0,1800,RND,True,0.0
0,1800,MIRW,True,0.0
0,1800,FFD,True,0.0
0,1800,KMeans,True,0.0
0,10,none,False,0.0
0,10,RND,True,0.0
0,10,MIRW,True,0.0
0,10,FFD,True,0.0
0,10,KMeans,True,0.0
1,0,none,False,0.0
1,0,RND,True,0.0
1,0,MIRW,True,0.0
1,0,FFD,True,0.0
1,0,KMeans,True,1.0
1,1800,none,False,0.0
1,1800,RND,True,0.0
1,1800,MIRW,True,0.0
1,1800,FFD,True,0.0
1,1800,KMeans,True,0.0
1,10,none,False,0.0
1,10,RND,True,0.0
1,10,MIRW,True,0.0
1,10,FFD,True,0.0
1,10,KMeans,True,0.0
2,0,none,False,0.0
2,0,RND,True,0.0
2,0,MIRW,True,0.0
2,0,FFD,True,0.0
2,0,KMeans,True,1.0
2,1800,none,False,0.0
2,1800,RND,True,0.0
2,1800,MIRW,True,0.0
2,1800,FFD,True,0.0
2,1800,KMeans,True,0.0
2,10,none,False,0.0
2,10,RND,True,0.0
2,10,MIRW,True,0.0
2,10,FFD,True,0.0
2,10,KMeans,True,0.0
3,0,none,False,0.0
3,0,RND,True,0.0
3,0,MIRW,True,0.0
3,0,FFD,True,0.0
3,0,KMeans,True,1.0
3,1800,none,False,0.0
3,1800,RND,True,0.0
3,1800,MIRW,True,0.0
3,1800,FFD,True,0.0
3,1800,KMeans,True,0.0
3,10,none,False,0.0
3,10,RND,True,0.0
3,10,MIRW,True,0.0
3,10,FFD,True,0.0
3,10,KMeans,True,0.0
4,0,none,False,0.0
4,0,RND,True,0.0
4,0,MIRW,True,0.0
4,0,FFD,True,0.0
4,0,KMeans,True,1.0
4,1800,none,False,0.0
4,1800,RND,True,0.0
4,1800,MIRW,True,0.0
4,1800,FFD,True,0.0
4,1800,KMeans,True,0.0
4,10,none,False,0.0
4,10,RND,True,0.0
4,10,MIRW,True,0.0
4,10,FFD,True,0.0
4,10,KMeans,True,0.0
5,0,none,False,0.0
5,0,RND,True,0.0
5,0,MIRW,True,0.0
5,0,FFD,True,0.0
5,0,KMeans,True,1.0
5,1800,none,False,0.0
5,1800,RND,True,0.0
5,1800,MIRW,True,0.0
5,1800,FFD,True,0.0
5,1800,KMeans,True,0.0
5,10,none,False,0.0
5,10,RND,True,0.0
5,10,MIRW,True,0.0
5,10,FFD,True,0.0
5,10,KMeans,True,0.0
6,0,none,False,0.0
6,0,RND,True,0.0
6,0,MIRW,True,0.0
6,0,FFD,True,0.0
6,0,KMeans,True,1.0
6,1800,none,False,0.0
6,1800,RND,True,0.0
6,1800,MIRW,True,0.0
6,1800,FFD,True,0.0
6,1800,KMeans,True,0.0
6,10,none,False,0.0
6,10,RND,True,0.0
6,10,MIRW,True,0.0
6,10,FFD,True,0.0
6,10,KMeans,True,0.0
7,0,none,False,0.0
7,0,RND,True,0.0
7,0,MIRW,True,0.0
7,0,FFD,True,0.0
7,0,KMeans,True,1.0
7,1800,none,False,0.0
7,1800,RND,True,0.0
7,1800,MIRW,True,0.0
7,1800,FFD,True,0.0
7,1800,KMeans,True,0.0
7,10,none,False,0.0
7,10,RND,True,0.0
7,10,MIRW,True,0.0
7,10,FFD,True,0.0
7,10,KMeans,True,0.0
8,0,none,False,0.0
8,0,RND,True,0.0
8,0,MIRW,True,0.0
8,0,FFD,True,0.0
8,0,KMeans,True,1.0
8,1800,none,False,0.0
8,1800,RND,True,0.0
8,1800,MIRW,True,0.0
8,1800,FFD,True,0.0
8,1800,KMeans,True,0.0
8,10,none,False,0.0
8,10,RND,True,0.0
8,10,MIRW,True,0.0
8,10,FFD,True,0.0
8,10,KMeans,True,0.0
9,0,none,False,0.0
9,0,RND,True,0.0
9,0,MIRW,True,0.0
9,0,FFD,True,0.0
9,0,KMeans,True,1.0
9,1800,none,False,0.0
9,1800,RND,True,0.0
9,1800,MIRW,True,0.0
9,1800,FFD,True,0.0
9,1800,KMeans,True,0.0
9,10,none,False,0.0
9,10,RND,True,0.0
9,10,MIRW,True,0.0
9,10,FFD,True,0.0
9,10,KMeans,True,0.0
10,0,none,False,0.0
10,0,RND,True,0.0
10,0,MIRW,True,0.0
